loss,optimizer,lr,hidden,reg,params,val_acc,final_val_loss,final_train_loss
hinge,sgd,0.001,512,0.0001,1208840,0.726,1.2121533430862497,1.7228228524810751
hinge,sgd,0.001,512,0.001,1208840,0.726,1.6818160646938483,2.194619016469648
hinge,sgd,0.001,512,0.01,1208840,0.726,6.313203093814365,6.812096851647309
hinge,sgd,0.005,128,0.0001,302216,0.786,0.9168033956625995,0.13526936009441415
hinge,sgd,0.005,128,0.001,302216,0.782,1.0523861215652404,0.24328845508561736
hinge,sgd,0.005,128,0.01,302216,0.784,2.2135510325046104,1.4380820719445078
hinge,sgd,0.005,256,0.0001,604424,0.782,0.9411364226263446,0.14878087618443436
hinge,sgd,0.005,256,0.001,604424,0.79,1.1709152945648422,0.4339016126928806
hinge,sgd,0.005,256,0.01,604424,0.788,3.4341490272489947,2.657375686218013
hinge,sgd,0.005,512,0.0001,1208840,0.792,0.9365315736169163,0.4152804158870056
hinge,sgd,0.005,512,0.001,1208840,0.782,1.4068522373658912,0.876769001990416
hinge,sgd,0.005,512,0.01,1208840,0.784,5.846560165733408,5.320637383005702
hinge,sgd,0.01,128,0.0001,302216,0.796,0.8808755290653926,0.13408885426264655
hinge,sgd,0.01,128,0.001,302216,0.79,0.9992547607031483,0.23568737784381918
hinge,sgd,0.01,128,0.01,302216,0.796,2.1174584572408404,1.349924703404483
hinge,sgd,0.01,256,0.0001,604424,0.83,0.7966165339411364,0.03123544779351274
hinge,sgd,0.01,256,0.001,604424,0.79,1.37551125488387,0.2810932217257688
hinge,sgd,0.01,256,0.01,604424,0.832,3.15314537932798,2.4186631812718726
hinge,sgd,0.01,512,0.0001,1208840,0.798,0.9262419990506994,0.1162640100827779
hinge,sgd,0.01,512,0.001,1208840,0.796,1.3235988111802575,0.5573956823041535
hinge,sgd,0.01,512,0.01,1208840,0.786,5.559260870797105,4.841299383468889
hinge,momentum,0.001,128,0.0001,302216,0.7,1.254392593041674,0.4724551235401878
hinge,momentum,0.001,128,0.001,302216,0.702,1.3771786250752673,0.5941419257862679
hinge,momentum,0.001,128,0.01,302216,0.702,2.588370857440547,1.804092359364856
hinge,momentum,0.001,256,0.0001,604424,0.712,1.2145045493877549,0.6325722483688886
hinge,momentum,0.001,256,0.001,604424,0.708,1.4506400623152098,0.8660230949955654
hinge,momentum,0.001,256,0.01,604424,0.712,3.804054317440545,3.2220472599196643
hinge,momentum,0.001,512,0.0001,1208840,0.722,1.216707902450565,1.6926766165108795
hinge,momentum,0.001,512,0.001,1208840,0.722,1.6839117634522456,2.1585498410499326
hinge,momentum,0.001,512,0.01,1208840,0.724,6.317473174518,6.812033980671862
hinge,momentum,0.005,128,0.0001,302216,0.786,0.8963458337213339,0.14211244551151567
hinge,momentum,0.005,128,0.001,302216,0.782,1.0242031137028542,0.27998655740413714
hinge,momentum,0.005,128,0.01,302216,0.78,2.1856732171949322,1.4721235780922508
hinge,momentum,0.005,256,0.0001,604424,0.796,0.8473054817580994,0.23611122516544433
hinge,momentum,0.005,256,0.001,604424,0.8,1.0807147050084909,0.5193345388403613
hinge,momentum,0.005,256,0.01,604424,0.806,3.3401472467624607,2.7338835351351696
hinge,momentum,0.005,512,0.0001,1208840,0.788,0.9235690696424437,0.36524863437504484
hinge,momentum,0.005,512,0.001,1208840,0.792,1.3859983882901616,0.8547762080873579
hinge,momentum,0.005,512,0.01,1208840,0.79,5.838154039100926,5.348647677557109
hinge,momentum,0.01,128,0.0001,302216,0.794,0.8281200280623662,0.09528246995530956
hinge,momentum,0.01,128,0.001,302216,0.802,0.9362928388559865,0.21597451116477712
hinge,momentum,0.01,128,0.01,302216,0.798,2.0610194333743124,1.3475967911836197
hinge,momentum,0.01,256,0.0001,604424,0.834,0.7436151605522451,0.026571932906402817
hinge,momentum,0.01,256,0.001,604424,0.828,0.9884219087180908,0.311925514612579
hinge,momentum,0.01,256,0.01,604424,0.826,3.141129812144584,2.422889223896886
hinge,momentum,0.01,512,0.0001,1208840,0.798,0.8520821012326147,0.09879065712070165
hinge,momentum,0.01,512,0.001,1208840,0.816,1.3233039172378205,0.5819913876788099
hinge,momentum,0.01,512,0.01,1208840,0.81,5.529879722879687,4.825402207074605
